"benchmark_version","method","project_slug","project_name","category","part_count","requested_part_area_sq_in","placed_part_area_sq_in","kerf_in","orientation_mode","sheet_length_in","sheet_width_in","estimated_sheets","yield_pct","waste_pct","rejected_piece_count","source_template_url"
"2026-07-21","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0","rotation_allowed","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0","orientation_locked","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.03125","rotation_allowed","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.03125","orientation_locked","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.0625","rotation_allowed","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.0625","orientation_locked","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.09375","rotation_allowed","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.09375","orientation_locked","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.125","rotation_allowed","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.125","orientation_locked","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.1875","rotation_allowed","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.1875","orientation_locked","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.25","rotation_allowed","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.25","orientation_locked","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0","rotation_allowed","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0","orientation_locked","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0.03125","rotation_allowed","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0.03125","orientation_locked","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0.0625","rotation_allowed","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0.0625","orientation_locked","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0.09375","rotation_allowed","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0.09375","orientation_locked","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
